title,cid,category,page,estimated_price,status
雨后复斜阳,1,基础教育,32,1.33,1

过年假期2023放假时间,1,基础教育,32,1.50,1

三年级基础复习卷,1,基础教育,32,1.34,1

数学课本六年级上册答案,1,基础教育,32,1.40,1

2022年初三复读生的政策,1,基础教育,32,1.35,1

第三章 圆锥曲线的方程教材介绍与教学建议,1,基础教育,32,1.32,1

五年级上册语文学霸提优大试,1,基础教育,32,1.33,1

一年级英语上册第7课,1,基础教育,32,1.32,1

六年级上册英语61页课程,1,基础教育,32,1.33,1

庄生晓梦迷蝴蝶望帝春心托杜鹃意思,1,基础教育,32,1.32,1

英语经纬度表示,1,基础教育,32,1.32,1

说文解字第517课,1,基础教育,32,1.32,1

高考计划表理科高三,1,基础教育,32,1.32,1

《为人民服务》课文,1,基础教育,32,1.45,1

馫龘飝鱻灥麤靐飍朤淼馫譶龘组词造句,1,基础教育,33,1.46,1

句法陈述句肯定句是指用肯定的语气来陈述的句子如否定句含有否定,1,基础教育,33,1.32,1

.叙事作文,1,基础教育,33,1.37,1

部编版小学语文三年级下册电子课本,1,基础教育,33,1.32,1

小学一年级英语人教版上册电子课本,1,基础教育,33,1.33,1

"小学内蒙古优化设计五年级上册123,124,125页数学答案",1,基础教育,33,1.34,1

五年级下册语文语文园地一的笔记,1,基础教育,33,1.33,1

七年级下册活页检测数学答案,1,基础教育,33,1.32,1

广西首次高中学业水平考试地理试题评析,1,基础教育,33,1.33,1

高中数学数列选择题,1,基础教育,33,1.33,1

上海美国学校中文教材,1,基础教育,33,1.32,1

有关理解的作文题目,1,基础教育,33,1.32,1

求小学四年级语文讲故事比赛稿!长一点的!,1,基础教育,33,1.32,1

让课内阅读成为课外阅读的连接点——《祖父的园子》课例研究,1,基础教育,33,1.32,1

高中必修一英语书电子版,1,基础教育,33,1.32,1

如果你是一泓清泉就滋润一方土地仿写句子,1,基础教育,33,1.45,1

三角函数诱导公式一到六,1,基础教育,33,1.50,1

四年级上册思维导图,1,基础教育,34,1.50,1

个册 文正实验,1,基础教育,34,1.33,1

"在新的赶考之路上,我们能否继续交出优异答卷",1,基础教育,34,1.33,1

科粤版九年级上册化学课本,1,基础教育,34,1.34,1

教自己孩子写作业的文案,1,基础教育,34,1.32,1

课时作业本数学九年级上册答案,1,基础教育,34,1.34,1

.第五单元习作“围绕中心意思写”选一个汉字为题目写一篇习作,1,基础教育,34,1.32,1

四年级语文上册教案免费版,1,基础教育,34,1.33,1

新课程学案物理选修一电子版,1,基础教育,34,1.32,1

汉语词语解释词典大全,1,基础教育,34,1.32,1

1995年与1994年全国高考物理试卷的同异分析,1,基础教育,34,1.32,1

14届蓝桥杯练习题,1,基础教育,34,1.32,1

八角楼上的毛主席课文,1,基础教育,34,1.32,1

沪教版小学英语,1,基础教育,34,1.32,1

战胜自我的作文,1,基础教育,34,1.50,1

贺知章的诗小学10首,1,基础教育,34,1.50,1

说和做概括文章内容,1,基础教育,34,1.44,1

声语四字成语,1,基础教育,34,1.43,1

最贵手游 违法,1,基础教育,35,1.38,1

用嘟嘟嘟造句,1,基础教育,35,1.50,1

初中课文猫内容朗读,1,基础教育,35,1.32,1

湘教版六年级上册科学教学计划,1,基础教育,35,1.32,1

陕西万唯中考试题研究政治2023答案,1,基础教育,35,1.31,1

由杭州建兰中学一封信想到的,1,基础教育,35,1.37,1

2023年朝阳区小升初语文,1,基础教育,35,1.33,1

2021-2022学年广东省中山市七年级(上)期末数学试卷,1,基础教育,35,1.32,1

关于三角形内角的两个关系式及其应用,1,基础教育,35,1.33,1

日记元旦节300字,1,基础教育,35,1.32,1

江苏省12月高一2022至2023年百校联考语文试卷,1,基础教育,35,1.32,1

高中名人事例2022,1,基础教育,35,1.32,1

三年级上册英语一单元单词,1,基础教育,35,1.45,1

铝单质和碱反应的离子方程式,1,基础教育,35,1.44,1

十年磨一剑作文,1,基础教育,35,1.43,1

"数组包含n个正整数元素 例如{15,30,74,17,90},从数组中选取子集,满足求和大于等于",1,基础教育,36,1.23,1

苏教版四年级下册数学电子课本,1,基础教育,36,1.50,1

支架式教学的基本节.,1,基础教育,36,1.33,1

高考语文答题卡,1,基础教育,36,1.32,1

"""原电池的工作原理""教学设计及课堂实录",1,基础教育,36,1.33,1

华师大七年级下册数学书电子版,1,基础教育,36,1.33,1

清初思想家对君臣一体的理想政治譬喻,1,基础教育,36,1.33,1

亮点给力英语六年级答案2022苏教版,1,基础教育,36,1.32,1

人教版九年级下册物理长江作业,1,基础教育,36,1.32,1

六年级下册数学电子课表,1,基础教育,36,1.32,1

小学英语教材电子版译林版,1,基础教育,36,1.32,1

重读音节和非重读音节的概念,1,基础教育,36,1.32,1

高中数学所有考点,1,基础教育,36,1.32,1

高中网上督导评估,1,基础教育,36,1.32,1

简单的兔年春联,1,基础教育,36,1.43,1

高一政治书电子版,1,基础教育,36,1.43,1

254×4等于,1,基础教育,37,1.33,1

世界神话传说四年级上册,1,基础教育,37,1.50,1

"20世纪中国中小学课程标准·教学大纲汇编,课程(教学)计划卷",1,基础教育,37,1.32,1

提优课时作业本五年级数学上册答案,1,基础教育,37,1.31,1

人教版六年级语文上册一单元思维导图,1,基础教育,37,1.36,1

7下英语书人教版,1,基础教育,37,1.33,1

九下苏教版数学书电子版,1,基础教育,37,1.33,1

广东省初中英语教材,1,基础教育,37,1.32,1

欲盖弥彰的近义词成语,1,基础教育,37,1.32,1

点燃沼气的化学方程式,1,基础教育,37,1.32,1

酸碱中和反应生成的盐是沉淀的化学方程式,1,基础教育,37,1.32,1

鲁教版七年级音乐电子课本,1,基础教育,37,1.32,1

形容短时间完成的成语,1,基础教育,37,1.50,1

过节真好作文,1,基础教育,37,1.46,1

文质彬彬造句,1,基础教育,37,1.46,1

过硫酸钾化学式,1,基础教育,37,1.44,1

高尔基体在动物细胞中的功能,1,基础教育,37,1.43,1

去好朋友学校的文案,1,基础教育,38,1.32,1

计算小达人四年级上册答案,1,基础教育,38,1.32,1

上海高中物理选择性必修第三册,1,基础教育,38,1.31,1

五年级上册语文《课文内容填空》考前冲刺总复习卷（1）,1,基础教育,38,1.32,1

山西省2023届九年级阶段评估二英语答案,1,基础教育,38,1.33,1

小学同步练册四年级上册智慧作业答案数学2023,1,基础教育,38,1.33,1

"""知之为知之不知为不知……""原文及翻译",1,基础教育,38,1.32,1

历史七年级下册课本,1,基础教育,38,1.32,1

浅谈初中英语分层教学,1,基础教育,38,1.32,1

高一化学必修二电子课本山东版,1,基础教育,38,1.32,1

关于腊八的古诗词,1,基础教育,38,1.50,1

吃火锅作文,1,基础教育,38,1.46,1

过新年作文500字,1,基础教育,38,1.46,1

杭州兔子火化,1,基础教育,39,1.34,1

河北什么时候能开学,1,基础教育,39,1.19,1

"恢复高考,我只是说了几句真话",1,基础教育,39,1.32,1

2022年八年级上册数学同步导与练北师大版,1,基础教育,39,1.32,1

赵孟頫豳风图赏析,1,基础教育,39,1.32,1

昌平区2020- -2021 学年第一学期初二年级期末质量抽测 英语试卷笔试部分答案,1,基础教育,39,1.32,1

九年级上册科粤版化学书电子版,1,基础教育,39,1.32,1

螺蛳语文七年级下册第2课,1,基础教育,39,1.33,1

阳光课堂金牌练习册语文五年级上册第一单综和练习,1,基础教育,39,1.33,1

先锋大考卷六年级上册数学试卷,1,基础教育,39,1.32,1

李白故事的文言文,1,基础教育,39,1.32,1

到处造句子一年级简单,1,基础教育,39,1.29,1

精卫填海的译文,1,基础教育,39,1.50,1

mg最高价氧化物对应的水化物,1,基础教育,39,1.43,1

四年级语文下册字帖,1,基础教育,39,1.43,1

